time,seconds_elapsed,z,y,x
1626807833638153700,0.06415380859375,-48.27879333496094,-9.366302490234375,15.654510498046875
1626807833738047200,0.164047119140625,-48.4083251953125,-9.377471923828125,15.59759521484375
1626807833837940200,0.263940185546875,-48.00836181640625,-9.626609802246094,15.739944458007812
1626807833937833000,0.3638330078125,-47.93170166015625,-9.319869995117188,14.786041259765625
1626807834037726200,0.463726318359375,-48.6878662109375,-8.099563598632812,12.44573974609375
1626807834137618200,0.5636181640625,-48.3465576171875,-8.721725463867188,8.517410278320312
1626807834237511200,0.66351123046875,-48.972442626953125,-2.1775360107421875,0.92852783203125
1626807834337404000,0.76340380859375,-43.48143005371094,20.405548095703125,2.0000152587890625
1626807834437297200,0.863297119140625,-46.82069396972656,6.880012512207031,11.3814697265625
1626807834537190100,0.963190185546875,-30.195777893066406,-14.589546203613281,34.85350036621094
1626807834637083100,1.063083251953125,-36.55174255371094,-11.3990478515625,29.416168212890625
1626807834736980000,1.16297998046875,-47.142181396484375,-1.7676239013671875,-3.110931396484375
1626807834836872700,1.262872802734375,-25.725982666015625,29.008651733398438,-21.361679077148438
1626807834936766000,1.362765869140625,-26.654998779296875,30.803924560546875,-6.9771728515625
1626807835036658700,1.46265869140625,-30.834251403808594,31.682693481445312,1.1977691650390625
1626807835136552000,1.562552001953125,-41.97259521484375,19.868988037109375,-1.8055419921875
1626807835236445000,1.66244482421875,-47.008087158203125,-18.40282440185547,9.189056396484375
1626807835336338000,1.762337890625,-20.07654571533203,-47.35529708862305,16.436767578125
1626807835436231000,1.86223095703125,-1.8748779296875,-54.6236457824707,12.719314575195312
1626807835536123000,1.962122802734375,-24.64655303955078,-41.75127410888672,23.620285034179688
1626807835636015900,2.062015869140625,-37.776695251464844,23.077468872070312,9.379196166992188
1626807835735905300,2.1619052734375,2.0758056640625,34.73417663574219,-10.302688598632812
1626807835835798000,2.261798095703125,0.99908447265625,32.18769836425781,-10.808609008789062
1626807835935691000,2.36169091796875,-44.26605224609375,9.936325073242188,3.11724853515625
1626807836035584000,2.461583984375,-16.348548889160156,-44.570884704589844,26.006851196289062
