time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1626807833638153700,0.06415380859375,-0.9544692741486819,0.2180397808990557,-0.43744511012097265,0.10305035646135491,0.870599571037716,-0.056185563496406105,0.44317165656641627
1626807833738047200,0.164047119140625,-0.9569431250163477,0.21849239393587386,-0.4384270183787202,0.10313393774632568,0.8699594661016125,-0.05668772319368219,0.4443442619826882
1626807833837940200,0.263940185546875,-0.9558969771128909,0.21937161398071559,-0.43785414508940124,0.10276672667366615,0.8699912567260549,-0.057228779462598224,0.4465079574951174
1626807833937833000,0.3638330078125,-0.9504727681390167,0.21388515705053104,-0.4377325482090858,0.08465155961403448,0.8709731508351002,-0.06363311361700189,0.4425940808323435
1626807834037726200,0.463726318359375,-0.9170978715932422,0.20631838760663332,-0.4278816745645252,0.03773560377773143,0.8762052602663296,-0.08132782623469254,0.44576902817419295
1626807834137618200,0.5636181640625,-0.8115437205732525,0.19289837010773983,-0.3935041866870668,-0.0922082338460108,0.8891576252039288,-0.13169429582852532,0.4630495852777771
1626807834237511200,0.66351123046875,-0.578459094104193,0.05033862178426124,-0.2940721248697933,-0.28581004922005243,0.940454622477637,-0.16288874076451076,0.19165561396263997
1626807834337404000,0.76340380859375,-0.5758156769535018,-0.219262714224876,-0.25168080738825316,-0.26764867731722375,0.9399191236446948,-0.07164295649414346,-0.3856010511458173
1626807834437297200,0.863297119140625,-0.9869596389220696,0.19341291322363097,-0.44988159523985555,0.20107485911886652,0.8718536122985151,0.008330113493979555,0.3360497302527737
1626807834537190100,0.963190185546875,-2.0524153921147685,0.5695328676603142,-0.5982205494785842,1.109215377510416,0.5633338788342739,0.02048072141918048,0.665141330722961
1626807834637083100,1.063083251953125,-1.9065912780848413,0.46053272549526275,-0.6459662417587699,0.7556161626338889,0.6070142892270706,-0.046592115362741035,0.6678428942604525
1626807834736980000,1.16297998046875,-1.0900549399898611,0.0021019175866336583,-0.5250666512956266,-0.3930507848864532,0.8199749390755084,-0.22790729717032684,0.24523065169422906
1626807834836872700,1.262872802734375,-1.5371553495306598,-0.44302918431737953,-0.5378659670476843,-0.8205946384805181,0.7093004414501421,-0.10638667590165729,-0.5398858109869349
1626807834936766000,1.362765869140625,-1.425893438748092,-0.32679026076932416,-0.5781281941164761,-0.3251639334401744,0.7435026434819954,0.07861123130640572,-0.614847042457271
1626807835036658700,1.46265869140625,-1.7042117864663542,-0.17860413229675656,-0.7244877914824991,-0.001528484674804303,0.6340228311123275,0.20305901609050156,-0.5476774046668069
1626807835136552000,1.562552001953125,-1.8969841353791603,-0.01878427311938662,-0.8120581193623998,0.006072786130592952,0.5824288813661233,0.03138962718866083,-0.07292603169670583
1626807835236445000,1.66244482421875,-1.6149562727268043,0.36290441929023637,-0.6185225506992171,0.22659956357870367,0.6575785858736592,-0.230912347790402,0.8678260918392693
1626807835336338000,1.762337890625,2.800687367752513,0.6571998361724032,-0.33823864342522797,2.500396597765521,0.5883966450310779,-0.32782982543704536,1.4723471054507262
1626807835436231000,1.86223095703125,2.048872713480567,0.7409428296296634,-0.19800918226854886,-2.8925873473053967,0.5243927527152318,-0.3698761708539494,1.1772835950346723
1626807835536123000,1.962122802734375,-1.440609666230907,0.49233328785911334,-0.46995641325933935,0.5368659983318358,0.7227682668358518,-0.11981226097598267,0.9689626130159138
1626807835636015900,2.062015869140625,-1.575620573863812,-0.23392982351638814,-0.6686967312067106,0.0020279338456706073,0.6650026288168547,0.236416741081585,-0.678094346647382
1626807835735905300,2.1619052734375,-2.3128254520237155,-0.5432171861267447,-0.5817603595468424,-0.9385184753523257,0.5275688215674629,0.296885752413659,-1.1645272715481745
